6 drones, 0.1 m/s, 2.6666666666666665 spacing, 1 pattern, 5205.300000001405 s
6 drones, 0.1 m/s, 2.6666666666666665 spacing, 2 pattern, 4674.199999999473 s
6 drones, 0.1 m/s, 2.6666666666666665 spacing, 3 pattern, 5876.6000000038475 s
6 drones, 0.1 m/s, 5.333333333333333 spacing, 1 pattern, 5076.400000000936 s
6 drones, 0.1 m/s, 5.333333333333333 spacing, 2 pattern, 4674.199999999473 s
6 drones, 0.1 m/s, 5.333333333333333 spacing, 3 pattern, 5733.000000003325 s
6 drones, 0.1 m/s, 8.0 spacing, 1 pattern, 4959.30000000051 s
6 drones, 0.1 m/s, 8.0 spacing, 2 pattern, 4674.199999999473 s
6 drones, 0.1 m/s, 8.0 spacing, 3 pattern, 5587.800000002797 s
6 drones, 0.1 m/s, 10.666666666666666 spacing, 1 pattern, 4620.499999999278 s
6 drones, 0.1 m/s, 10.666666666666666 spacing, 2 pattern, 4674.199999999473 s
6 drones, 0.1 m/s, 10.666666666666666 spacing, 3 pattern, 5446.800000002284 s
6 drones, 0.1 m/s, 13.333333333333332 spacing, 1 pattern, 4625.199999999295 s
6 drones, 0.1 m/s, 13.333333333333332 spacing, 2 pattern, 4674.199999999473 s
6 drones, 0.1 m/s, 13.333333333333332 spacing, 3 pattern, 5365.6000000019885 s
6 drones, 0.2 m/s, 2.6666666666666665 spacing, 1 pattern, 4926.10000000039 s
6 drones, 0.2 m/s, 2.6666666666666665 spacing, 2 pattern, 4525.799999998933 s
6 drones, 0.2 m/s, 2.6666666666666665 spacing, 3 pattern, 5567.700000002724 s
6 drones, 0.2 m/s, 5.333333333333333 spacing, 1 pattern, 4543.899999998999 s
6 drones, 0.2 m/s, 5.333333333333333 spacing, 2 pattern, 4525.799999998933 s
6 drones, 0.2 m/s, 5.333333333333333 spacing, 3 pattern, 5253.20000000158 s
6 drones, 0.2 m/s, 8.0 spacing, 1 pattern, 4457.299999998684 s
6 drones, 0.2 m/s, 8.0 spacing, 2 pattern, 4525.799999998933 s
6 drones, 0.2 m/s, 8.0 spacing, 3 pattern, 4975.200000000568 s
6 drones, 0.2 m/s, 10.666666666666666 spacing, 1 pattern, 4511.19999999888 s
6 drones, 0.2 m/s, 10.666666666666666 spacing, 2 pattern, 4525.799999998933 s
6 drones, 0.2 m/s, 10.666666666666666 spacing, 3 pattern, 4563.099999999069 s
6 drones, 0.2 m/s, 13.333333333333332 spacing, 1 pattern, 4526.599999998936 s
6 drones, 0.2 m/s, 13.333333333333332 spacing, 2 pattern, 4525.799999998933 s
6 drones, 0.2 m/s, 13.333333333333332 spacing, 3 pattern, 4440.699999998624 s
6 drones, 0.3 m/s, 2.6666666666666665 spacing, 1 pattern, 4584.999999999149 s
6 drones, 0.3 m/s, 2.6666666666666665 spacing, 2 pattern, 4439.59999999862 s
6 drones, 0.3 m/s, 2.6666666666666665 spacing, 3 pattern, 5324.90000000184 s
6 drones, 0.3 m/s, 5.333333333333333 spacing, 1 pattern, 4387.39999999843 s
6 drones, 0.3 m/s, 5.333333333333333 spacing, 2 pattern, 4439.59999999862 s
6 drones, 0.3 m/s, 5.333333333333333 spacing, 3 pattern, 4889.800000000258 s
6 drones, 0.3 m/s, 8.0 spacing, 1 pattern, 4435.799999998606 s
6 drones, 0.3 m/s, 8.0 spacing, 2 pattern, 4439.59999999862 s
6 drones, 0.3 m/s, 8.0 spacing, 3 pattern, 4371.699999998373 s
6 drones, 0.3 m/s, 10.666666666666666 spacing, 1 pattern, 4248.899999997926 s
6 drones, 0.3 m/s, 10.666666666666666 spacing, 2 pattern, 4439.59999999862 s
6 drones, 0.3 m/s, 10.666666666666666 spacing, 3 pattern, 4276.999999998028 s
6 drones, 0.3 m/s, 13.333333333333332 spacing, 1 pattern, 4358.099999998323 s
6 drones, 0.3 m/s, 13.333333333333332 spacing, 2 pattern, 4439.59999999862 s
